# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.664297266640e-10       7.505901384442e-15       2.278050982109e-13       5.973062170032e-17       8.555782960904e-11       9.847138379244e-12      -7.314036808449e-15 
   41       1.689265717689e-10       8.145381351457e-15       2.179432005115e-13       6.275644781665e-17       8.127880049173e-11       9.394956885676e-12      -5.670828872728e-15 
   42       1.714473549267e-10       8.822484355435e-15       2.070750329960e-13       6.586109068518e-17       7.727875230237e-11       8.977215816667e-12      -5.326591406534e-15 
   43       1.739950410614e-10       9.536873034740e-15       1.950525890971e-13       6.904480146634e-17       7.354682468453e-11       8.590720766084e-12      -5.971914516781e-15 
   44       1.765691637191e-10       1.028792227791e-14       1.816983692070e-13       7.230780990009e-17       7.005556153856e-11       8.230011289873e-12      -7.211503844343e-15 
   45       1.791675062778e-10       1.107497207172e-14       1.668282620134e-13       7.565027278594e-17       6.677066171593e-11       7.888975327366e-12      -8.629041295791e-15 
   46       1.817925487328e-10       1.189821685584e-14       1.503329733118e-13       7.907210587538e-17       6.368681687107e-11       7.566671661161e-12      -1.001764499500e-14 
   47       1.844463680291e-10       1.275805269359e-14       1.321176008627e-13       8.257309824280e-17       6.080034306267e-11       7.262956772473e-12      -1.120910093626e-14 
   48       1.871285642793e-10       1.365482859031e-14       1.120783837735e-13       8.615295262958e-17       5.809837630896e-11       6.976783576591e-12      -1.200824131183e-14 
   49       1.898360361349e-10       1.458884479110e-14       9.010216964685e-14       8.981128054952e-17       5.555819055921e-11       6.706132973962e-12      -1.219157914060e-14 
   50       1.925648060409e-10       1.556033832377e-14       6.609801150963e-14       9.354760984459e-17       5.315401800368e-11       6.448678619232e-12      -1.158548440923e-14 
   51       1.953166012218e-10       1.656943895123e-14       4.010330583198e-14       9.736142112552e-17       5.088127480888e-11       6.204152755938e-12      -1.032889652248e-14 
   52       1.980936707447e-10       1.761619832024e-14       1.220554340675e-14       1.012521127620e-16       4.873773225621e-11       5.972504242752e-12      -8.679562049707e-15 
   53       2.008967666390e-10       1.870059942312e-14      -1.748634651026e-14       1.052189850904e-16       4.671626796082e-11       5.753188323198e-12      -6.943047135455e-15 
   54       2.037250157326e-10       1.982255429514e-14      -4.884101706237e-14       1.092612361052e-16       4.480453689428e-11       5.545132681109e-12      -5.475115258123e-15 
   55       2.065770137837e-10       2.098195700119e-14      -8.173606329198e-14       1.133780613484e-16       4.298871891809e-11       5.347092346956e-12      -4.595917279171e-15 
   56       2.094547197819e-10       2.217886328491e-14      -1.161634665199e-13       1.175689925079e-16       4.126660523245e-11       5.158895426160e-12      -4.302151467170e-15 
   57       2.123603045857e-10       2.341335151509e-14      -1.521486295765e-13       1.218336353870e-16       3.963718665280e-11       4.980447379905e-12      -4.487562675350e-15 
   58       2.152949345980e-10       2.468547116136e-14      -1.897206078768e-13       1.261715728328e-16       3.809669547915e-11       4.811350902317e-12      -5.023830067517e-15 
   59       2.182586912242e-10       2.599524264575e-14      -2.289123902293e-13       1.305823644868e-16       3.663843534390e-11       4.650887125963e-12      -5.759508991907e-15 
   60       2.212504903301e-10       2.734265719419e-14      -2.697611796448e-13       1.350655465360e-16       3.525261105971e-11       4.497996827338e-12      -6.518972855037e-15 
   61       2.242689771419e-10       2.872759071777e-14      -3.123015388983e-13       1.396207514864e-16       3.392903827441e-11       4.351572864782e-12      -7.140658480783e-15 
   62       2.273156278842e-10       3.014952320354e-14      -3.565423940534e-13       1.442480994635e-16       3.266636809936e-11       4.211456716000e-12      -7.604227550751e-15 
   63       2.303922045828e-10       3.160775578788e-14      -4.024853439413e-13       1.489478947009e-16       3.146464053301e-11       4.077633290875e-12      -7.930200147966e-15 
   64       2.334997924473e-10       3.310148834962e-14      -4.501313932562e-13       1.537205167575e-16       3.032251014681e-11       3.949930694627e-12      -8.143355139591e-15 
   65       2.366387502785e-10       3.462981663378e-14      -4.994810069685e-13       1.585664240763e-16       2.923716730714e-11       3.828011308477e-12      -8.272919120657e-15 
   66       2.398086608769e-10       3.619172937538e-14      -5.505341647376e-13       1.634861575440e-16       2.820425939725e-11       3.711362870304e-12      -8.352755357774e-15 
   67       2.430082814504e-10       3.778610542317e-14      -6.032904153250e-13       1.684803440497e-16       2.721781203916e-11       3.599289555306e-12      -8.421552732856e-15 
   68       2.462362729185e-10       3.941184707189e-14      -6.577460554845e-13       1.735496409719e-16       2.627181862955e-11       3.491108439790e-12      -8.514719636214e-15 
   69       2.494936702771e-10       4.106831786032e-14      -7.138848812129e-13       1.786945486201e-16       2.536555904795e-11       3.386805056633e-12      -8.637735981796e-15 
   70       2.527818260058e-10       4.275498872320e-14      -7.716856515985e-13       1.839155660082e-16       2.449922209020e-11       3.286495259848e-12      -8.787716226358e-15 
   71       2.561016463214e-10       4.447131022830e-14      -8.311247797431e-13       1.892132485759e-16       2.367229704701e-11       3.190227993604e-12      -8.961203877496e-15 
   72       2.594535615068e-10       4.621671318376e-14      -8.921763136321e-13       1.945882102378e-16       2.288353759381e-11       3.097981625655e-12      -9.154148287738e-15 
   73       2.628374962395e-10       4.799060924546e-14      -9.548119170051e-13       2.000411254312e-16       2.213092568050e-11       3.009660280766e-12      -9.361881448629e-15 
   74       2.662528399205e-10       4.979239152436e-14      -1.019000850225e-12       2.055727311647e-16       2.141163542130e-11       2.925090174138e-12      -9.579094784819e-15 
   75       2.696984170027e-10       5.162143519391e-14      -1.084709951151e-12       2.111838290668e-16       2.072199698453e-11       2.844015944838e-12      -9.799815948146e-15 
