# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.650201791898e-10       7.637132889627e-15       2.380621089213e-13       0.000000000000e+00       8.990277778535e-11       9.817558814369e-12      -7.947542504092e-15 
   41       1.674396537792e-10       8.290233005681e-15       2.284320457752e-13       0.000000000000e+00       8.545512324125e-11       9.378591392970e-12      -6.047817783402e-15 
   42       1.698868975859e-10       8.981838304475e-15       2.177610709379e-13       0.000000000000e+00       8.129568391201e-11       8.963018679664e-12      -5.409768398981e-15 
   43       1.723616144648e-10       9.711632436725e-15       2.059176937563e-13       0.000000000000e+00       7.741340166564e-11       8.572083769146e-12      -5.771155629296e-15 
   44       1.748593506115e-10       1.047900996981e-14       1.927445788057e-13       0.000000000000e+00       7.378000710074e-11       8.205827810494e-12      -6.793017504763e-15 
   45       1.773741854204e-10       1.128332382190e-14       1.780771908472e-13       0.000000000000e+00       7.036011446005e-11       7.863362690243e-12      -8.110190117555e-15 
   46       1.799086689386e-10       1.212475665813e-14       1.618105024110e-13       0.000000000000e+00       6.714833388781e-11       7.544037733173e-12      -9.512415873958e-15 
   47       1.824662016329e-10       1.300368049686e-14       1.438492510405e-13       0.000000000000e+00       6.414092369935e-11       7.246440298683e-12      -1.080905426122e-14 
   48       1.850480153593e-10       1.392041249865e-14       1.240887137406e-13       0.000000000000e+00       6.132459722344e-11       6.967964030736e-12      -1.177670835973e-14 
   49       1.876529661770e-10       1.487521286674e-14       1.024141308284e-13       0.000000000000e+00       5.867581299460e-11       6.704724007208e-12      -1.215752208841e-14 
   50       1.902789806725e-10       1.586828113101e-14       7.873066118391e-14       0.000000000000e+00       5.616786439031e-11       6.452664033327e-12      -1.174297412014e-14 
