# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.537104150760e-10       8.192775694101e-15       5.034867875746e-13       0.000000000000e+00       8.545962079909e-09       5.064976773928e-10      -2.656603522191e-12 
    3       1.440333567133e-10       1.379800883818e-14       6.360148365613e-13       0.000000000000e+00       5.245172700299e-09       3.593655409895e-10      -2.334473644037e-12 
    4       1.347296947139e-10       1.600248851170e-14       6.585719579963e-13       0.000000000000e+00       3.642806825931e-09       2.723220035007e-10      -1.856903329634e-12 
    5       1.274346742561e-10       1.468406907735e-14       6.163748275790e-13       0.000000000000e+00       2.714367184279e-09       2.152447785104e-10      -1.372333985083e-12 
    6       1.220768790463e-10       1.122632458010e-14       5.411727242340e-13       0.000000000000e+00       2.116391513679e-09       1.751886266437e-10      -9.318389245377e-13 
    7       1.183076570301e-10       7.361467289226e-15       4.547274674167e-13       0.000000000000e+00       1.703945208618e-09       1.456775088964e-10      -5.611780548884e-13 
    8       1.157721841283e-10       4.301608870864e-15       3.702904319778e-13       0.000000000000e+00       1.404877330361e-09       1.231503488294e-10      -2.716169086359e-13 
    9       1.141840198267e-10       2.467671733249e-15       2.957970571474e-13       0.000000000000e+00       1.179945650996e-09       1.055314178995e-10      -6.445000322968e-14 
   10       1.133775538415e-10       1.662121146610e-15       2.355752440253e-13       0.000000000000e+00       1.006145020072e-09       9.149196264826e-11       6.654943618816e-14 
   11       1.131378904128e-10       1.428407194333e-15       1.914456954334e-13       0.000000000000e+00       8.506903190432e-10       8.041777353254e-11       1.320630269517e-13 
   12       1.133036274975e-10       1.362668624720e-15       1.632636975255e-13       0.000000000000e+00       7.422240888573e-10       7.107827415693e-11       1.487784206459e-13 
   13       1.138622295628e-10       1.259854635689e-15       1.491656541893e-13       0.000000000000e+00       6.532605530672e-10       6.309991954906e-11       1.302576900658e-13 
   14       1.146717901367e-10       1.099576044039e-15       1.461866508084e-13       0.000000000000e+00       5.793055699353e-10       5.656996483851e-11       9.184592981168e-14 
   15       1.157093438901e-10       9.497620771489e-16       1.508852080159e-13       0.000000000000e+00       5.171196770781e-10       5.108288156246e-11       4.571867810696e-14 
   16       1.169035506067e-10       8.724961452816e-16       1.599769278253e-13       0.000000000000e+00       4.642953302642e-10       4.620879179468e-11       1.160756411025e-15 
   17       1.182485214402e-10       8.790320228187e-16       1.708174199986e-13       0.000000000000e+00       4.190194559077e-10       4.205163161352e-11      -3.492340935647e-14 
   18       1.197373723624e-10       9.337998129193e-16       1.813713957075e-13       0.000000000000e+00       3.797588459279e-10       3.846246390347e-11      -5.903898303770e-14 
   19       1.213535501591e-10       1.001514809692e-15       1.906480885749e-13       0.000000000000e+00       3.458783958419e-10       3.532654275105e-11      -7.060488167668e-14 
   20       1.230245179224e-10       1.048865372507e-15       1.979678722362e-13       0.000000000000e+00       3.160666815103e-10       3.249889071653e-11      -7.089412325091e-14 
   21       1.247720063814e-10       1.083187394834e-15       2.034593150411e-13       0.000000000000e+00       2.898487372556e-10       2.996921285833e-11      -6.242436672388e-14 
   22       1.266130840722e-10       1.128599693993e-15       2.076498367070e-13       0.000000000000e+00       2.665898625031e-10       2.772951692999e-11      -4.891858863682e-14 
   23       1.285326117897e-10       1.205969407390e-15       2.111363340216e-13       0.000000000000e+00       2.459654795679e-10       2.574590754747e-11      -3.345868060619e-14 
   24       1.304860758398e-10       1.333492952484e-15       2.145977556386e-13       0.000000000000e+00       2.274943760530e-10       2.395267946814e-11      -1.918559965115e-14 
   25       1.324828225520e-10       1.509939326966e-15       2.184947827136e-13       0.000000000000e+00       2.109555765955e-10       2.233163046081e-11      -7.941278577373e-15 
   26       1.345318747730e-10       1.726209939323e-15       2.231839672518e-13       0.000000000000e+00       1.960460731834e-10       2.086345919253e-11      -1.033502511022e-15 
   27       1.366270086682e-10       1.975501020788e-15       2.287148047915e-13       0.000000000000e+00       1.825848493176e-10       1.953281978057e-11       1.362499499301e-15 
   28       1.387486279671e-10       2.251468098938e-15       2.349500858978e-13       0.000000000000e+00       1.703378461448e-10       1.831705850338e-11      -3.046301774979e-16 
   29       1.409039467092e-10       2.553379747977e-15       2.415197125730e-13       0.000000000000e+00       1.592406369434e-10       1.721192318540e-11      -5.010824036300e-15 
   30       1.430970665319e-10       2.882069219847e-15       2.478645819486e-13       0.000000000000e+00       1.491718367835e-10       1.620844805386e-11      -1.120609397104e-14 
   31       1.453221698207e-10       3.237667141922e-15       2.533472451160e-13       0.000000000000e+00       1.399234829806e-10       1.528886479931e-11      -1.713935737520e-14 
   32       1.475856821893e-10       3.617555376708e-15       2.575937119802e-13       0.000000000000e+00       1.314466904915e-10       1.444780635937e-11      -2.197685059456e-14 
   33       1.498898160406e-10       4.017535813193e-15       2.602697421962e-13       0.000000000000e+00       1.236807245123e-10       1.367726464431e-11      -2.507973635776e-14 
   34       1.522292954090e-10       4.434110749011e-15       2.610572828543e-13       0.000000000000e+00       1.165158797259e-10       1.296391898814e-11      -2.590052775433e-14 
   35       1.546046603704e-10       4.870840347744e-15       2.598912969844e-13       0.000000000000e+00       1.099144999928e-10       1.230202383979e-11      -2.464636803752e-14 
   36       1.570117954480e-10       5.334305834877e-15       2.568085040671e-13       0.000000000000e+00       1.038224681420e-10       1.168398501245e-11      -2.186211666569e-14 
   37       1.594421542307e-10       5.831208611884e-15       2.518945671355e-13       0.000000000000e+00       9.815920497941e-11       1.110008447608e-11      -1.819657102113e-14 
   38       1.618988868675e-10       6.363810422027e-15       2.453056417081e-13       0.000000000000e+00       9.290949712857e-11       1.055096648830e-11      -1.415461042665e-14 
   39       1.643848409682e-10       6.933034305603e-15       2.372600688591e-13       0.000000000000e+00       8.805625798511e-11       1.003874008981e-11      -1.027854350521e-14 
   40       1.668975178561e-10       7.539671138412e-15       2.280374512660e-13       0.000000000000e+00       8.355262390926e-11       9.563369503611e-12      -7.223318957081e-15 
   41       1.694318898554e-10       8.184273810407e-15       2.178957381751e-13       0.000000000000e+00       7.933815520510e-11       9.123091894234e-12      -5.581802341661e-15 
   42       1.719913198754e-10       8.866825477316e-15       2.067809871000e-13       0.000000000000e+00       7.540001634610e-11       8.716336183991e-12      -5.275737570058e-15 
   43       1.745792409923e-10       9.586944306590e-15       1.945294427221e-13       0.000000000000e+00       7.172734688251e-11       8.340077405770e-12      -5.978048931334e-15 
   44       1.771957493782e-10       1.034395121804e-14       1.809438920609e-13       0.000000000000e+00       6.829290839311e-11       7.989101317833e-12      -7.271768249500e-15 
   45       1.798391283888e-10       1.113714179893e-14       1.658201579223e-13       0.000000000000e+00       6.506271390808e-11       7.657547713953e-12      -8.720110043734e-15 
   46       1.825117547348e-10       1.196674086561e-14       1.490412335572e-13       0.000000000000e+00       6.203141519832e-11       7.344481219078e-12      -1.011499720926e-14 
   47       1.852153873581e-10       1.283320304931e-14       1.305075302685e-13       0.000000000000e+00       5.919528164920e-11       7.049703940209e-12      -1.129322114224e-14 
   48       1.879492386966e-10       1.373694682611e-14       1.101100735795e-13       0.000000000000e+00       5.654153400602e-11       6.772125355826e-12      -1.206590842987e-14 
   49       1.907097462985e-10       1.467835342944e-14       8.772994574645e-14       0.000000000000e+00       5.404767276333e-11       6.509694962211e-12      -1.221723044145e-14 
   50       1.934925275073e-10       1.565773395834e-14       6.327214750797e-14       0.000000000000e+00       5.168820647907e-11       6.260072850814e-12      -1.158103453854e-14 
   51       1.962993988700e-10       1.667522269985e-14       3.677931246384e-14       0.000000000000e+00       4.945854791415e-11       6.023012285663e-12      -1.029825344163e-14 
   52       1.991328672887e-10       1.773085297037e-14       8.347895527309e-15       0.000000000000e+00       4.735644330962e-11       5.798507424692e-12      -8.627136175296e-15 
   53       2.019939908065e-10       1.882458386620e-14      -2.190251151805e-14       0.000000000000e+00       4.537482366526e-11       5.586080059370e-12      -6.873753324439e-15 
   54       2.048822529538e-10       1.995629767936e-14      -5.382811777716e-14       0.000000000000e+00       4.350148136067e-11       5.384746987177e-12      -5.394373525034e-15 
   55       2.077965675570e-10       2.112585209769e-14      -8.729561562448e-14       0.000000000000e+00       4.172276039990e-11       5.193348389481e-12      -4.509431076090e-15 
   56       2.107388733308e-10       2.233325791091e-14      -1.222987507650e-13       0.000000000000e+00       4.003644150258e-11       5.011703239894e-12      -4.214956847378e-15 
   57       2.137112121688e-10       2.357854092415e-14      -1.588688500801e-13       0.000000000000e+00       3.844149152244e-11       4.839683774508e-12      -4.403623224404e-15 
   58       2.167145970857e-10       2.486169060153e-14      -1.970419373882e-13       0.000000000000e+00       3.693416690094e-11       4.676861475825e-12      -4.945827464687e-15 
   59       2.197489306083e-10       2.618265961645e-14      -2.368590638511e-13       0.000000000000e+00       3.550784666326e-11       4.522488510395e-12      -5.688623686769e-15 
   60       2.228129231663e-10       2.754136340184e-14      -2.783666383808e-13       0.000000000000e+00       3.415286541429e-11       4.375479166447e-12      -6.454654859221e-15 
   61       2.259050325780e-10       2.893761070850e-14      -3.216072322873e-13       0.000000000000e+00       3.285917797273e-11       4.234704544914e-12      -7.080805313063e-15 
   62       2.290267135532e-10       3.037087808320e-14      -3.665888338521e-13       0.000000000000e+00       3.162543000597e-11       4.099995922063e-12      -7.546712798947e-15 
   63       2.321797560786e-10       3.184048374139e-14      -4.133092475194e-13       0.000000000000e+00       3.045163631078e-11       3.971334688081e-12      -7.873338413308e-15 
   64       2.353652804495e-10       3.334564950566e-14      -4.617650382870e-13       0.000000000000e+00       2.933645320594e-11       3.848550514851e-12      -8.085979975514e-15 
   65       2.385836880596e-10       3.488549816704e-14      -5.119515598684e-13       0.000000000000e+00       2.827710137397e-11       3.731312732875e-12      -8.214464319035e-15 
   66       2.418346121901e-10       3.645905084616e-14      -5.638629828537e-13       0.000000000000e+00       2.726928870286e-11       3.619121708205e-12      -8.293339582626e-15 
   67       2.451168687990e-10       3.806522435448e-14      -6.174923228711e-13       0.000000000000e+00       2.630713312781e-11       3.511300219369e-12      -8.362067501507e-15 
   68       2.484291652786e-10       3.970295465525e-14      -6.728302342860e-13       0.000000000000e+00       2.538472239149e-11       3.407185027923e-12      -8.456709794891e-15 
   69       2.517725034934e-10       4.137160219454e-14      -7.298610445131e-13       0.000000000000e+00       2.450133279843e-11       3.306765940650e-12      -8.582601357155e-15 
   70       2.551481774938e-10       4.307062433789e-14      -7.885659630502e-13       0.000000000000e+00       2.365713416585e-11       3.210161342288e-12      -8.736459934995e-15 
   71       2.585570293403e-10       4.479945711320e-14      -8.489242414923e-13       0.000000000000e+00       2.285161180790e-11       3.117426018967e-12      -8.914377309792e-15 
   72       2.619994192787e-10       4.655751579694e-14      -9.109131701213e-13       0.000000000000e+00       2.208353124235e-11       3.028547655170e-12      -9.111794046501e-15 
   73       2.654751959146e-10       4.834419550051e-14      -9.745080744957e-13       0.000000000000e+00       2.135090289725e-11       2.943443330710e-12      -9.323474242532e-15 
   74       2.689836663881e-10       5.015887175643e-14      -1.039682312039e-12       0.000000000000e+00       2.065094681758e-11       2.861956017690e-12      -9.543480276640e-15 
   75       2.725235665486e-10       5.200090110465e-14      -1.106407268631e-12       0.000000000000e+00       1.998005737191e-11       2.783851077478e-12      -9.765147557805e-15 
   76       2.760936478404e-10       5.386944552769e-14      -1.174649601544e-12       0.000000000000e+00       1.933469210353e-11       2.708878986650e-12      -9.981894801929e-15 
   77       2.796946274426e-10       5.576290749911e-14      -1.244362395363e-12       0.000000000000e+00       1.871430342710e-11       2.636984463854e-12      -1.018988126473e-14 
   78       2.833275412124e-10       5.767939249987e-14      -1.315492379617e-12       0.000000000000e+00       1.811887990396e-11       2.568129291110e-12      -1.038579044316e-14 
   79       2.869931416213e-10       5.961687305317e-14      -1.387982480447e-12       0.000000000000e+00       1.754805344631e-11       2.502227357717e-12      -1.056602954818e-14 
   80       2.906918805764e-10       6.157318569849e-14      -1.461771760729e-12       0.000000000000e+00       1.700108297428e-11       2.439142515296e-12      -1.072672138678e-14 
   81       2.944238922414e-10       6.354602796581e-14      -1.536795360200e-12       0.000000000000e+00       1.647683807283e-11       2.378686432838e-12      -1.086369624404e-14 
   82       2.981889758570e-10       6.553295534975e-14      -1.612984435579e-12       0.000000000000e+00       1.597378264884e-11       2.320616451750e-12      -1.097248376522e-14 
   83       3.019865785624e-10       6.753137828369e-14      -1.690266100693e-12       0.000000000000e+00       1.548995858802e-11       2.264633440905e-12      -1.104830483782e-14 
   84       3.058161044905e-10       6.953883363141e-14      -1.768571520054e-12       0.000000000000e+00       1.502345795575e-11       2.210452203862e-12      -1.108707403454e-14 
   85       3.096779385592e-10       7.155385750274e-14      -1.847861862391e-12       0.000000000000e+00       1.457396534128e-11       2.158030809911e-12      -1.108861566605e-14 
   86       3.135725616954e-10       7.357525225725e-14      -1.928106559892e-12       0.000000000000e+00       1.414144242626e-11       2.107375525358e-12      -1.105396847670e-14 
   87       3.175002281276e-10       7.560182641623e-14      -2.009275613307e-12       0.000000000000e+00       1.372565416219e-11       2.058470729659e-12      -1.098443122262e-14 
   88       3.214609536903e-10       7.763239625060e-14      -2.091339669107e-12       0.000000000000e+00       1.332616063826e-11       2.011277989832e-12      -1.088157153798e-14 
   89       3.254545041287e-10       7.966578736878e-14      -2.174270096643e-12       0.000000000000e+00       1.294230894913e-11       1.965735134864e-12      -1.074723480127e-14 
   90       3.294803834033e-10       8.170083630458e-14      -2.258039065298e-12       0.000000000000e+00       1.257322506280e-11       1.921755330131e-12      -1.058355300159e-14 
   91       3.335378219943e-10       8.373639210508e-14      -2.342619621645e-12       0.000000000000e+00       1.221780568836e-11       1.879226151801e-12      -1.039295360489e-14 
   92       3.376257652062e-10       8.577131791853e-14      -2.427985766606e-12       0.000000000000e+00       1.187471014387e-11       1.838008661249e-12      -1.017816842030e-14 
   93       3.417431941885e-10       8.780436567928e-14      -2.514104849949e-12       0.000000000000e+00       1.154267621456e-11       1.797972036679e-12      -9.942203951584e-15 
   94       3.458901696308e-10       8.983377515404e-14      -2.600913277739e-12       0.000000000000e+00       1.122153973237e-11       1.759105436539e-12      -9.688228092886e-15 
   95       3.500669241457e-10       9.185761724741e-14      -2.688337276939e-12       0.000000000000e+00       1.091135401915e-11       1.721421327334e-12      -9.419682705601e-15 
   96       3.542735365073e-10       9.387391537962e-14      -2.776300224605e-12       0.000000000000e+00       1.061207592415e-11       1.684920993853e-12      -9.140328840627e-15 
   97       3.585099245220e-10       9.588064533247e-14      -2.864722619577e-12       0.000000000000e+00       1.032356213919e-11       1.649594101669e-12      -8.854255075957e-15 
   98       3.627758379006e-10       9.787573509522e-14      -2.953522054183e-12       0.000000000000e+00       1.004556551382e-11       1.615418259641e-12      -8.565885854270e-15 
   99       3.670708511300e-10       9.985706471050e-14      -3.042613185933e-12       0.000000000000e+00       9.777731370504e-12       1.582358582408e-12      -8.279989820523e-15 
  100       3.713943563447e-10       1.018224661202e-13      -3.131907709217e-12       0.000000000000e+00       9.519593819803e-12       1.550367252891e-12      -8.001688159541e-15 
  101       3.757455561985e-10       1.037697230115e-13      -3.221314327007e-12       0.000000000000e+00       9.270572075553e-12       1.519383084797e-12      -7.736462933610e-15 
  102       3.801234567365e-10       1.056965706626e-13      -3.310738722549e-12       0.000000000000e+00       9.029966770040e-12       1.489331085108e-12      -7.490165420066e-15 
  103       3.845268602662e-10       1.076006957888e-13      -3.400083531064e-12       0.000000000000e+00       8.796956269180e-12       1.460122016593e-12      -7.269024448886e-15 
  104       3.889546136744e-10       1.094798500352e-13      -3.489254634160e-12       0.000000000000e+00       8.570781722424e-12       1.431673138696e-12      -7.078213945597e-15 
  105       3.934064069319e-10       1.113322082478e-13      -3.578181072391e-12       0.000000000000e+00       8.351338618231e-12       1.403974563455e-12      -6.917317224082e-15 
  106       3.978820696678e-10       1.131560585380e-13      -3.666797782350e-12       0.000000000000e+00       8.138658641564e-12       1.377031089408e-12      -6.784262677164e-15 
  107       4.023813210880e-10       1.149496940384e-13      -3.755039554848e-12       0.000000000000e+00       7.932726483676e-12       1.350841621337e-12      -6.676702452437e-15 
  108       4.069037656544e-10       1.167114139981e-13      -3.842841076084e-12       0.000000000000e+00       7.733478231294e-12       1.325398965500e-12      -6.592004956951e-15 
  109       4.114488887631e-10       1.184395248773e-13      -3.930136968830e-12       0.000000000000e+00       7.540799755807e-12       1.300689624860e-12      -6.527247361889e-15 
  110       4.160160524234e-10       1.201323414420e-13      -4.016861833606e-12       0.000000000000e+00       7.354525102452e-12       1.276693594312e-12      -6.479208107258e-15 
  111       4.206044909367e-10       1.217881878588e-13      -4.102950289858e-12       0.000000000000e+00       7.174434879498e-12       1.253384155912e-12      -6.444359406562e-15 
  112       4.252133065752e-10       1.234053987897e-13      -4.188337017139e-12       0.000000000000e+00       7.000254647437e-12       1.230727674112e-12      -6.418859751491e-15 
  113       4.298414652603e-10       1.249823204872e-13      -4.272956796284e-12       0.000000000000e+00       6.831653308165e-12       1.208683390979e-12      -6.398546416604e-15 
  114       4.344877922421e-10       1.265173118883e-13      -4.356744550591e-12       0.000000000000e+00       6.668241494170e-12       1.187203221433e-12      -6.378927964007e-15 
  115       4.391509677774e-10       1.280087457101e-13      -4.439635386995e-12       0.000000000000e+00       6.509569957719e-12       1.166231548472e-12      -6.355176748036e-15 
  116       4.438297061507e-10       1.294550376841e-13      -4.521563148931e-12       0.000000000000e+00       6.355227404225e-12       1.145717981193e-12      -6.323116034162e-15 
  117       4.485233266665e-10       1.308547359517e-13      -4.602455787248e-12       0.000000000000e+00       6.205150930406e-12       1.125657826365e-12      -6.282333534485e-15 
  118       4.532312442872e-10       1.322064446442e-13      -4.682239501192e-12       0.000000000000e+00       6.059350480372e-12       1.106056175810e-12      -6.233434106414e-15 
  119       4.579527898323e-10       1.335087980441e-13      -4.760840204080e-12       0.000000000000e+00       5.917812055032e-12       1.086915294716e-12      -6.177080294582e-15 
  120       4.626872072785e-10       1.347604619287e-13      -4.838183551319e-12       0.000000000000e+00       5.780496980543e-12       1.068234531486e-12      -6.113993629642e-15 
  121       4.674336510589e-10       1.359601349138e-13      -4.914194968428e-12       0.000000000000e+00       5.647341176753e-12       1.050010227571e-12      -6.044955927062e-15 
  122       4.721911833634e-10       1.371065497973e-13      -4.988799679052e-12       0.000000000000e+00       5.518254425644e-12       1.032235627320e-12      -5.970810585922e-15 
  123       4.769587714385e-10       1.381984749026e-13      -5.061922732986e-12       0.000000000000e+00       5.393119639784e-12       1.014900787820e-12      -5.892463887708e-15 
  124       4.817352848866e-10       1.392347154224e-13      -5.133489034192e-12       0.000000000000e+00       5.271792130762e-12       9.979924887396e-13      -5.810886295110e-15 
  125       4.865194929664e-10       1.402141147621e-13      -5.203423368814e-12       0.000000000000e+00       5.154098877644e-12       9.814941421686e-13      -5.727113750817e-15 
  126       4.913100618925e-10       1.411355558835e-13      -5.271650433204e-12       0.000000000000e+00       5.039837795408e-12       9.653857024650e-13      -5.642248976312e-15 
  127       4.961055521351e-10       1.419979626484e-13      -5.338094861936e-12       0.000000000000e+00       4.928777003396e-12       9.496435760948e-13      -5.557462770668e-15 
  128       5.009044157200e-10       1.428003011619e-13      -5.402681255825e-12       0.000000000000e+00       4.820654093757e-12       9.342405314755e-13      -5.473995309345e-15 
  129       5.057051551039e-10       1.435416257747e-13      -5.465335569944e-12       0.000000000000e+00       4.715232159225e-12       9.191519171110e-13      -5.392914937801e-15 
  130       5.105068252406e-10       1.442212199392e-13      -5.525989390306e-12       0.000000000000e+00       4.612476379492e-12       9.043752787329e-13      -5.314361876573e-15 
  131       5.153085817455e-10       1.448384734164e-13      -5.584576181472e-12       0.000000000000e+00       4.512395514269e-12       8.899127338228e-13      -5.238223617966e-15 
  132       5.201095227288e-10       1.453928406495e-13      -5.641030005991e-12       0.000000000000e+00       4.414986558213e-12       8.757648116514e-13      -5.164369561977e-15 
