# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043524204e-10       7.653263647693e-15       2.380572481008e-13       6.776159188125e-17       9.046338875697e-11       9.751314200648e-12      -8.351242873166e-15 
   41       1.670017820955e-10       8.304886767545e-15       2.284586258534e-13       7.119228864169e-17       8.598777931897e-11       9.311591183642e-12      -6.389558482864e-15 
   42       1.694089277788e-10       8.995242773115e-15       2.178260458511e-13       7.471054904908e-17       8.180192050184e-11       8.896429813430e-12      -5.644106400495e-15 
   43       1.718349348308e-10       9.723866982616e-15       2.060482352010e-13       7.831659164401e-17       7.789473302410e-11       8.506508640852e-12      -5.882707424756e-15 
   44       1.742868956425e-10       1.048997092679e-14       1.929917400257e-13       8.201063265482e-17       7.423783283738e-11       8.141177682779e-12      -6.802860730036e-15 
   45       1.767695091704e-10       1.129272580066e-14       1.785110619974e-13       8.579284885731e-17       7.079567617640e-11       7.798902096540e-12      -8.072935776782e-15 
   46       1.792845494318e-10       1.213225974662e-14       1.624863285202e-13       8.966325394265e-17       6.756285818029e-11       7.479020481832e-12      -9.481084739753e-15 
   47       1.818307968667e-10       1.300892560435e-14       1.447942519794e-13       9.362178444533e-17       6.453562146223e-11       7.180317988007e-12      -1.082316022785e-14 
   48       1.844038483992e-10       1.392302190568e-14       1.252965713893e-13       9.766833075343e-17       6.170060574899e-11       6.900434139695e-12      -1.185902978890e-14 
   49       1.869958533727e-10       1.487479085228e-14       1.038391777281e-13       1.018027345580e-16       5.903413372987e-11       6.635780768099e-12      -1.231068844964e-14 
   50       1.895987277865e-10       1.586442717577e-14       8.029467045688e-14       1.060247828343e-16       5.650934394159e-11       6.382582296711e-12      -1.195046032012e-14 
   51       1.922154381946e-10       1.689211224483e-14       5.470567438728e-14       1.103341937765e-16       5.412152877650e-11       6.140519889323e-12      -1.089820682739e-14 
   52       1.948513242401e-10       1.795798572050e-14       2.717891264508e-14       1.147306226365e-16       5.186843973642e-11       5.909934604000e-12      -9.401529706878e-15 
   53       1.975107900523e-10       1.906213400869e-14      -2.153683055054e-15       1.192136622086e-16       4.974270481718e-11       5.690762934132e-12      -7.755029114311e-15 
   54       2.001972038660e-10       2.020458875007e-14      -3.313380325435e-14       1.237828401161e-16       4.773148362986e-11       5.482507556405e-12      -6.302655651109e-15 
   55       2.029129400383e-10       2.138534248221e-14      -6.561525965357e-14       1.284376710204e-16       4.582038621943e-11       5.284467349648e-12      -5.357166478337e-15 
   56       2.056597472877e-10       2.260440364185e-14      -9.959335993332e-14       1.331778346550e-16       4.400715962658e-11       5.096561379694e-12      -4.929674433556e-15 
   57       2.084382961089e-10       2.386175258129e-14      -1.351056245493e-13       1.380030372654e-16       4.229079727945e-11       4.918658372819e-12      -4.937032865737e-15 
   58       2.112479516211e-10       2.515732477040e-14      -1.721953027010e-13       1.429129599995e-16       4.066739831665e-11       4.750316645273e-12      -5.277986553236e-15 
   59       2.140866787351e-10       2.649100995559e-14      -2.109117486855e-13       1.479072583339e-16       3.912998882663e-11       4.590764952717e-12      -5.832294018357e-15 
   60       2.169509473206e-10       2.786265131867e-14      -2.513107982508e-13       1.529855614997e-16       3.766834308692e-11       4.438883339648e-12      -6.459849841906e-15 
   61       2.198372211418e-10       2.927198889790e-14      -2.934433059610e-13       1.581475506991e-16       3.627182363778e-11       4.293506533514e-12      -7.029631531660e-15 
   62       2.227470297442e-10       3.071847691321e-14      -3.373168992768e-13       1.633932155699e-16       3.493905084960e-11       4.154457030082e-12      -7.516118332469e-15 
   63       2.256828719060e-10       3.220142375852e-14      -3.829262685449e-13       1.687226545307e-16       3.367009645728e-11       4.021710967458e-12      -7.923055678001e-15 
   64       2.286466886299e-10       3.372004156354e-14      -4.302642491528e-13       1.741360029580e-16       3.246357491767e-11       3.895087303694e-12      -8.255607654853e-15 
   65       2.316398185617e-10       3.527344358419e-14      -4.793218222402e-13       1.796334351125e-16       3.131656043424e-11       3.774238900320e-12      -8.520425627659e-15 
   66       2.346629534102e-10       3.686064159296e-14      -5.300881154103e-13       1.852151660645e-16       3.022450398167e-11       3.658643605870e-12      -8.725716864182e-15 
   67       2.377160933655e-10       3.848054326932e-14      -5.825504034412e-13       1.908814536206e-16       2.918115033054e-11       3.547595339413e-12      -8.881313160420e-15 
   68       2.407990142200e-10       4.013207033357e-14      -6.366940527051e-13       1.966325884100e-16       2.818020885884e-11       3.440402180588e-12      -8.997649244433e-15 
   69       2.439128782929e-10       4.181454657772e-14      -6.925023397593e-13       2.024688575059e-16       2.722094459321e-11       3.337047180072e-12      -9.082304214966e-15 
   70       2.470588713344e-10       4.352738413315e-14      -7.499565971058e-13       2.083905768590e-16       2.630357620456e-11       3.237646043987e-12      -9.142879368429e-15 
   71       2.502376887750e-10       4.526997015373e-14      -8.090362655160e-13       2.143981040790e-16       2.542758502090e-11       3.142248417343e-12      -9.188066425852e-15 
   72       2.534495042322e-10       4.704166729430e-14      -8.697188933022e-13       2.204918400578e-16       2.459167690589e-11       3.050834261848e-12      -9.227688275088e-15 
   73       2.566939380165e-10       4.884181418914e-14      -9.319801355895e-13       2.266722305924e-16       2.379374413735e-11       2.963310233724e-12      -9.272739713017e-15 
   74       2.599700256371e-10       5.066972593041e-14      -9.957937535870e-13       2.329397680087e-16       2.303082728579e-11       2.879506061517e-12      -9.335428187749e-15 
   75       2.632761863081e-10       5.252469454662e-14      -1.061131613860e-12       2.392949927843e-16       2.229907709293e-11       2.799170923912e-12      -9.429214540828e-15 
   76       2.666108664696e-10       5.440582969411e-14      -1.127960789778e-12       2.457383962801e-16       2.159471006972e-11       2.722039989992e-12      -9.564914070328e-15 
   77       2.699746754463e-10       5.631154613508e-14      -1.196234257246e-12       2.522701048682e-16       2.091716073752e-11       2.648056055440e-12      -9.738088829631e-15 
   78       2.733685838276e-10       5.823998323376e-14      -1.265898493090e-12       2.588901408847e-16       2.026643762492e-11       2.577181929756e-12      -9.939419592365e-15 
   79       2.767932656357e-10       6.018915369929e-14      -1.336896163184e-12       2.655985160137e-16       1.964216308597e-11       2.509331711191e-12      -1.015840217519e-14 
   80       2.802490806733e-10       6.215694078758e-14      -1.409166062297e-12       2.723952308819e-16       1.904355555574e-11       2.444368603292e-12      -1.038330739369e-14 
   81       2.837360568712e-10       6.414109550326e-14      -1.482643053944e-12       2.792802746548e-16       1.846941180585e-11       2.382102731453e-12      -1.060114101826e-14 
   82       2.872538726363e-10       6.613923380155e-14      -1.557258010237e-12       2.862536246316e-16       1.791808920002e-11       2.322288959468e-12      -1.079760372999e-14 
   83       2.908018391993e-10       6.814883379017e-14      -1.632937751731e-12       2.933152458409e-16       1.738748794962e-11       2.264624706079e-12      -1.095705107660e-14 
   84       2.943792682541e-10       7.016748489599e-14      -1.709613395037e-12       3.004651059745e-16       1.687556147924e-11       2.208821271558e-12      -1.106574003202e-14 
   85       2.979866835693e-10       7.219368895451e-14      -1.787247117427e-12       3.077032239216e-16       1.638198360469e-11       2.154836186251e-12      -1.112227478341e-14 
   86       3.016247788056e-10       7.422618741138e-14      -1.865809739577e-12       3.150296285762e-16       1.590672648925e-11       2.102675556350e-12      -1.112882726698e-14 
   87       3.052940390711e-10       7.626372258077e-14      -1.945272792274e-12       3.224443440690e-16       1.544954836931e-11       2.052323044573e-12      -1.108801950024e-14 
   88       3.089947297441e-10       7.830503908198e-14      -2.025608597563e-12       3.299473896206e-16       1.500998468574e-11       2.003738922183e-12      -1.100293877495e-14 
   89       3.127268852968e-10       8.034888527606e-14      -2.106790349911e-12       3.375387793945e-16       1.458733921518e-11       1.956859120998e-12      -1.087715285006e-14 
   90       3.164902981185e-10       8.239401470241e-14      -2.188792197361e-12       3.452185223505e-16       1.418067520146e-11       1.911594285407e-12      -1.071472514458e-14 
   91       3.202845073385e-10       8.443918751534e-14      -2.271589322687e-12       3.529866220979e-16       1.378880648690e-11       1.867828824381e-12      -1.052022993061e-14 
   92       3.241087876498e-10       8.648317192074e-14      -2.355158024550e-12       3.608430767481e-16       1.341028864364e-11       1.825419963487e-12      -1.029876752616e-14 
   93       3.279624067228e-10       8.852463566641e-14      -2.439467722232e-12       3.687879958794e-16       1.304376170551e-11       1.784233594717e-12      -1.005549142140e-14 
   94       3.318454660102e-10       9.056179872462e-14      -2.524455418016e-12       3.768219718696e-16       1.268905659109e-11       1.744260052755e-12      -9.794075302827e-15 
   95       3.357581663229e-10       9.259273078605e-14      -2.610047526120e-12       3.849457643998e-16       1.234623946376e-11       1.705514079759e-12      -9.518042486787e-15 
   96       3.397005431175e-10       9.461545648002e-14      -2.696167577592e-12       3.931601897612e-16       1.201527097027e-11       1.667999142123e-12      -9.231241822435e-15 
   97       3.436724590064e-10       9.662795530185e-14      -2.782736190594e-12       4.014661223158e-16       1.169600219840e-11       1.631706987604e-12      -8.937856185046e-15 
