# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.536367302329e-10       8.181687931033e-15       5.023083987515e-13       2.243735541563e-19       8.562518891358e-09       5.068610112869e-10      -2.656320013014e-12 
    3       1.439864449357e-10       1.378638950300e-14       6.350742944726e-13       4.490339390987e-19       5.283904789115e-09       3.595744499955e-10      -2.332363833567e-12 
    4       1.347086348580e-10       1.599027820890e-14       6.573412492948e-13       7.490156082647e-19       3.669767759215e-09       2.726748038832e-10      -1.854798125937e-12 
    5       1.274279407055e-10       1.467312689309e-14       6.149458781156e-13       1.124668950862e-18       2.733523549128e-09       2.157249378159e-10      -1.370456588958e-12 
    6       1.220764250874e-10       1.121904835865e-14       5.397211471150e-13       1.576405534117e-18       2.131484978906e-09       1.757574226031e-10      -9.300947743370e-13 
    7       1.183136839654e-10       7.358007388342e-15       4.533933533619e-13       2.104682176490e-18       1.717585619913e-09       1.463342636892e-10      -5.595470073657e-13 
    8       1.157825734074e-10       4.302405016985e-15       3.691941114365e-13       2.709983427507e-18       1.418163519712e-09       1.238887000937e-10      -2.700306124168e-13 
    9       1.141929274394e-10       2.473565352369e-15       2.950069921119e-13       3.392803207576e-18       1.193156878546e-09       1.063207410852e-10      -6.281990967219e-14 
   10       1.133862644786e-10       1.673740675819e-15       2.351109412036e-13       4.153626397923e-18       1.019120476088e-09       9.230703840819e-11       6.830643021638e-14 
   11       1.131427040864e-10       1.445272908338e-15       1.912504386984e-13       4.992911173676e-18       8.597438988569e-10       8.118859243663e-11       1.339640612187e-13 
   12       1.133084824711e-10       1.382803914655e-15       1.632648387780e-13       5.911072841963e-18       7.506600020308e-10       7.184164620233e-11       1.508075337044e-13 
   13       1.138695739555e-10       1.280217867913e-15       1.492808682909e-13       6.908469882913e-18       6.611587175715e-10       6.385850529584e-11       1.323601222807e-13 
   14       1.146786042799e-10       1.117247601773e-15       1.462662420158e-13       7.985392797267e-18       5.867286637260e-10       5.730894120194e-11       9.393512704013e-14 
   15       1.157135322228e-10       9.630745459853e-16       1.508491547716e-13       9.142056243838e-18       5.241188321830e-10       5.180059807555e-11       4.773199406960e-14 
   16       1.169135170031e-10       8.813888141465e-16       1.598036053096e-13       1.037859480834e-17       4.709135947897e-10       4.692207602877e-11       3.039867672028e-15 
   17       1.182621726550e-10       8.848292211616e-16       1.704556638972e-13       1.169506258803e-17       4.252926146645e-10       4.275540104095e-11      -3.330025076961e-14 
   18       1.197561970942e-10       9.384821443541e-16       1.807975171120e-13       1.309143469480e-17       3.857154071255e-10       3.915661899254e-11      -5.776742147422e-14 
   19       1.213783945705e-10       1.006734439095e-15       1.898692814548e-13       1.456762394121e-17       3.515486860541e-10       3.600932875748e-11      -6.971487226293e-14 
   20       1.230524852849e-10       1.055456062870e-15       1.970154025133e-13       1.612347046241e-17       3.214714730511e-10       3.316147523962e-11      -7.033820911615e-14 
   21       1.248021333358e-10       1.091244024161e-15       2.023631184102e-13       1.775878275695e-17       2.950076903343e-10       3.060825801117e-11      -6.210902916664e-14 
   22       1.266477181211e-10       1.137511922663e-15       2.064296199294e-13       1.947332481916e-17       2.715203941748e-10       2.835056624273e-11      -4.872454585346e-14 
   23       1.285715752210e-10       1.215145425688e-15       2.098159209859e-13       2.126686256420e-17       2.506840769842e-10       2.635243412294e-11      -3.329566990431e-14 
   24       1.305253493292e-10       1.342601291696e-15       2.132089066024e-13       2.313915095133e-17       2.320145471735e-10       2.454251662566e-11      -1.901534337871e-14 
   25       1.325205035132e-10       1.518677352827e-15       2.170720203012e-13       2.508998530104e-17       2.152901657841e-10       2.290253636515e-11      -7.747878181098e-15 
   26       1.345696936390e-10       1.734254238334e-15       2.217566927967e-13       2.711918587014e-17       2.002062855535e-10       2.141490844233e-11      -8.122788928228e-16 
   27       1.366656642718e-10       1.982600952393e-15       2.272819437266e-13       2.922664106163e-17       1.865811624693e-10       2.006566674625e-11       1.628015360042e-15 
   28       1.387864951636e-10       2.257478584687e-15       2.334797048581e-13       3.141229722205e-17       1.741792695662e-10       1.883317362531e-11       3.583127947872e-17 
   29       1.409393702861e-10       2.558194943827e-15       2.400083865529e-13       3.367620075745e-17       1.629362960856e-10       1.771273232464e-11      -4.582714584716e-15 
   30       1.431292223131e-10       2.885606443326e-15       2.463650713841e-13       3.601847836379e-17       1.527301913805e-10       1.669413497640e-11      -1.071123374293e-14 
   31       1.453510353215e-10       3.239863717975e-15       2.519599968969e-13       3.843933474076e-17       1.433512802758e-10       1.575832440338e-11      -1.663094573751e-14 
   32       1.476109437297e-10       3.618337209596e-15       2.563761372789e-13       4.093906448467e-17       1.347506768813e-10       1.490032562958e-11      -2.150279501746e-14 
   33       1.499104314774e-10       4.016802827925e-15       2.591952127810e-13       4.351805857374e-17       1.268674026933e-10       1.411311536173e-11      -2.466732621100e-14 
   34       1.522434486620e-10       4.431726937075e-15       2.600244331529e-13       4.617679382062e-17       1.195908573339e-10       1.338423957731e-11      -2.555566238689e-14 
   35       1.546101675722e-10       4.866616801552e-15       2.588396988458e-13       4.891577800573e-17       1.128832983656e-10       1.270775705994e-11      -2.437252432700e-14 
   36       1.570062120467e-10       5.327986957755e-15       2.557663898595e-13       5.173559743223e-17       1.066902403783e-10       1.207540784077e-11      -2.166634844213e-14 
   37       1.594228675626e-10       5.822475176738e-15       2.509745377217e-13       5.463689190471e-17       1.009303516208e-10       1.147680563566e-11      -1.808774122627e-14 
   38       1.618635669099e-10       6.352337071393e-15       2.446129616879e-13       5.762019674398e-17       9.558849831915e-11       1.091274227045e-11      -1.413259207940e-14 
