# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.667284738176e-10       7.458381902715e-15       2.281314963072e-13       0.000000000000e+00       8.606035695143e-11       9.896182829778e-12      -7.316330735760e-15 
   41       1.692391204013e-10       8.096224474007e-15       2.182750936525e-13       0.000000000000e+00       8.176565992733e-11       9.442718109838e-12      -5.672809045417e-15 
   42       1.717739685585e-10       8.771723373977e-15       2.074107770653e-13       0.000000000000e+00       7.775067155815e-11       9.023757385260e-12      -5.329065819281e-15 
   43       1.743359780958e-10       9.484545127388e-15       1.953902191969e-13       0.000000000000e+00       7.400452260362e-11       8.636099712704e-12      -5.975510439180e-15 
   44       1.769246770265e-10       1.023406837100e-14       1.820355666505e-13       0.000000000000e+00       7.049969124791e-11       8.274271976745e-12      -7.216617591706e-15 
   45       1.795378433831e-10       1.101963698818e-14       1.671623500489e-13       0.000000000000e+00       6.720178585788e-11       7.932148047733e-12      -8.635814658802e-15 
   46       1.821779540900e-10       1.184145046055e-14       1.506610127960e-13       0.000000000000e+00       6.410550167503e-11       7.608788283864e-12      -1.002603860045e-14 
   47       1.848470837866e-10       1.269991031431e-14       1.324364133290e-13       0.000000000000e+00       6.120716100800e-11       7.304053613544e-12      -1.121889427715e-14 
   48       1.875448304782e-10       1.359537116537e-14       1.123845471163e-13       0.000000000000e+00       5.849387247719e-11       7.016899311294e-12      -1.201900406597e-14 
   49       1.902680909166e-10       1.452813901944e-14       9.039201405494e-14       0.000000000000e+00       5.594284634684e-11       6.745306364140e-12      -1.220264104491e-14 
   50       1.930128861379e-10       1.549845664271e-14       6.636762038833e-14       0.000000000000e+00       5.352823880657e-11       6.486946932626e-12      -1.159599098284e-14 
   51       1.957809433657e-10       1.650645893667e-14       4.034853270968e-14       0.000000000000e+00       5.124546341547e-11       6.241552911336e-12      -1.033815315844e-14 
   52       1.985745124221e-10       1.755220251183e-14       1.242201762725e-14       0.000000000000e+00       4.909229523420e-11       6.009071649955e-12      -8.687165516002e-15 
   53       2.013943466164e-10       1.863567530463e-14      -1.730321799400e-14       0.000000000000e+00       4.706159611192e-11       5.788954770958e-12      -6.948939224591e-15 
   54       2.042395746034e-10       1.975679426909e-14      -4.869604742191e-14       0.000000000000e+00       4.514098432188e-11       5.580124081632e-12      -5.479639100382e-15 
   55       2.071087941064e-10       2.091545847476e-14      -8.163428902469e-14       0.000000000000e+00       4.331659652416e-11       5.381328267270e-12      -4.599775320842e-15 
   56       2.100039648200e-10       2.211172913575e-14      -1.161101697263e-13       0.000000000000e+00       4.158622487782e-11       5.192394828498e-12      -4.306033735042e-15 
   57       2.129272581378e-10       2.334569026141e-14      -1.521493450729e-13       0.000000000000e+00       3.994886481021e-11       5.013229444284e-12      -4.492027512540e-15 
   58       2.158798412325e-10       2.461739702185e-14      -1.897811245465e-13       0.000000000000e+00       3.840074141844e-11       4.843433987218e-12      -5.029277447958e-15 
   59       2.188617965203e-10       2.592687559827e-14      -2.290387521329e-13       0.000000000000e+00       3.693513854628e-11       4.682287660774e-12      -5.766152563451e-15 
   60       2.218720411232e-10       2.727412303320e-14      -2.699596868898e-13       0.000000000000e+00       3.554222786104e-11       4.528728136570e-12      -6.526810711190e-15 
   61       2.249092224497e-10       2.865902079989e-14      -3.125787515417e-13       0.000000000000e+00       3.421178968550e-11       4.381645319196e-12      -7.149491546326e-15 
   62       2.279748220397e-10       3.008105317884e-14      -3.569051464496e-13       0.000000000000e+00       3.294247583284e-11       4.240882366823e-12      -7.613836174172e-15 
   63       2.310706086674e-10       3.153952511450e-14      -4.029407505724e-13       0.000000000000e+00       3.173433207049e-11       4.106426910708e-12      -7.940395903821e-15 
   64       2.341976751182e-10       3.303364008799e-14      -4.506868513590e-13       0.000000000000e+00       3.058601223086e-11       3.978109488530e-12      -8.153987153355e-15 
   65       2.373563886235e-10       3.456249722968e-14      -5.001441990248e-13       0.000000000000e+00       2.949469904139e-11       3.855594601085e-12      -8.283880673274e-15 
   66       2.405463412952e-10       3.612508843191e-14      -5.513130608271e-13       0.000000000000e+00       2.845602495467e-11       3.738371768984e-12      -8.363990769933e-15 
   67       2.437663005603e-10       3.772029546165e-14      -6.041932753408e-13       0.000000000000e+00       2.746399297857e-11       3.625746589355e-12      -8.433064528972e-15 
   68       2.470149373031e-10       3.934702382244e-14      -6.587814323817e-13       0.000000000000e+00       2.651257345271e-11       3.517037016626e-12      -8.526563782011e-15 
   69       2.502932924102e-10       4.100464229128e-14      -7.150616279061e-13       0.000000000000e+00       2.560104705829e-11       3.412228379505e-12      -8.649977911216e-15 
   70       2.536027232677e-10       4.269262766580e-14      -7.730129247067e-13       0.000000000000e+00       2.472960719278e-11       3.311435631369e-12      -8.800418600011e-15 
   71       2.569441411314e-10       4.441043649416e-14      -8.326120421244e-13       0.000000000000e+00       2.389774415864e-11       3.214706241139e-12      -8.974425812373e-15 
   72       2.603179814521e-10       4.615750568518e-14      -8.938333368109e-13       0.000000000000e+00       2.310420885645e-11       3.122016498682e-12      -9.167944554453e-15 
   73       2.637241742003e-10       4.793325311842e-14      -9.566487834919e-13       0.000000000000e+00       2.234697647811e-11       3.033267820201e-12      -9.376301636201e-15 
   74       2.671621141911e-10       4.973707825422e-14      -1.021027955730e-12       0.000000000000e+00       2.162321020004e-11       2.948283053635e-12      -9.594182432990e-15 
   75       2.706306314091e-10       5.156836274385e-14      -1.086938006687e-12       0.000000000000e+00       2.092922487630e-11       2.866802784053e-12      -9.815607647241e-15 
   76       2.741285619043e-10       5.342629496672e-14      -1.154342219811e-12       0.000000000000e+00       2.026139907593e-11       2.788553421582e-12      -1.003453753732e-14 
   77       2.776566462645e-10       5.530930535410e-14      -1.223195398291e-12       0.000000000000e+00       1.961918345977e-11       2.713473966485e-12      -1.024686317935e-14 
   78       2.812159250336e-10       5.721552872399e-14      -1.293447595993e-12       0.000000000000e+00       1.900257758229e-11       2.641524075562e-12      -1.044873778922e-14 
   79       2.848071517733e-10       5.914296826698e-14      -1.365045425168e-12       0.000000000000e+00       1.841121362767e-11       2.572613761403e-12      -1.063597126487e-14 
   80       2.884307757037e-10       6.108949254587e-14      -1.437932007900e-12       0.000000000000e+00       1.784433954959e-11       2.506601169743e-12      -1.080401981470e-14 
   81       2.920869243434e-10       6.305283249522e-14      -1.512046927533e-12       0.000000000000e+00       1.730080221092e-11       2.443290356818e-12      -1.094797558584e-14 
   82       2.957753861493e-10       6.503057842090e-14      -1.587326180118e-12       0.000000000000e+00       1.677903052353e-11       2.382429066722e-12      -1.106255629259e-14 
   83       2.994955931568e-10       6.702017699967e-14      -1.663702125845e-12       0.000000000000e+00       1.627701858797e-11       2.323706508757e-12      -1.114209484469e-14 
   84       3.032469403297e-10       6.901920120297e-14      -1.741110663895e-12       0.000000000000e+00       1.579281154606e-11       2.266827664063e-12      -1.118175742642e-14 
   85       3.070298424642e-10       7.102621805462e-14      -1.819514229991e-12       0.000000000000e+00       1.532609261392e-11       2.211755227793e-12      -1.118145246774e-14 
   86       3.108448214834e-10       7.304005989667e-14      -1.898882540040e-12       0.000000000000e+00       1.487682945622e-11       2.158503887198e-12      -1.114255369483e-14 
   87       3.146921737772e-10       7.505956581877e-14      -1.979185777471e-12       0.000000000000e+00       1.444478657829e-11       2.107066435863e-12      -1.106673941928e-14 
   88       3.185719585017e-10       7.708358324468e-14      -2.060394666069e-12       0.000000000000e+00       1.402951691483e-11       2.057412837265e-12      -1.095600281271e-14 
   89       3.224839858780e-10       7.911096951881e-14      -2.142480542818e-12       0.000000000000e+00       1.363035341862e-11       2.009489288338e-12      -1.081266218132e-14 
   90       3.264278054912e-10       8.114059349275e-14      -2.225415430741e-12       0.000000000000e+00       1.324640064918e-11       1.963217283028e-12      -1.063937124046e-14 
   91       3.304026945899e-10       8.317133711181e-14      -2.309172111738e-12       0.000000000000e+00       1.287652636149e-11       1.918492675861e-12      -1.043912938926e-14 
   92       3.344076463848e-10       8.520209700151e-14      -2.393724199426e-12       0.000000000000e+00       1.251935309470e-11       1.875184745498e-12      -1.021529198514e-14 
   93       3.384416882843e-10       8.723165663590e-14      -2.479038870186e-12       0.000000000000e+00       1.217358397928e-11       1.833168968024e-12      -9.971412718410e-15 
   94       3.425049167655e-10       8.925827740387e-14      -2.565053647503e-12       0.000000000000e+00       1.183905448112e-11       1.792433009194e-12      -9.710721300764e-15 
   95       3.465975972381e-10       9.128004868632e-14      -2.651696244417e-12       0.000000000000e+00       1.151582402424e-11       1.752985016217e-12      -9.436585852226e-15 
   96       3.507198409007e-10       9.329501160689e-14      -2.738891566636e-12       0.000000000000e+00       1.120385209430e-11       1.714820861074e-12      -9.152681664756e-15 
   97       3.548715975687e-10       9.530115884197e-14      -2.826561684604e-12       0.000000000000e+00       1.090299441509e-11       1.677923666802e-12      -8.862999172090e-15 
   98       3.590526485024e-10       9.729643443073e-14      -2.914625805554e-12       0.000000000000e+00       1.061299912498e-11       1.642263333783e-12      -8.571851919588e-15 
   99       3.632625992351e-10       9.927873358517e-14      -3.003000245572e-12       0.000000000000e+00       1.033350295338e-11       1.607796066035e-12      -8.283884534071e-15 
  100       3.675008724011e-10       1.012459025001e-13      -3.091598401656e-12       0.000000000000e+00       1.006402739721e-11       1.574463897502e-12      -8.004080693668e-15 
  101       3.717667005638e-10       1.031957381632e-13      -3.180330723778e-12       0.000000000000e+00       9.803974897317e-12       1.542194218339e-12      -7.737771097658e-15 
  102       3.760591190436e-10       1.051259881651e-13      -3.269104686940e-12       0.000000000000e+00       9.552625014989e-12       1.510899301207e-12      -7.490641436313e-15 
  103       3.803769587462e-10       1.070343505092e-13      -3.357824763240e-12       0.000000000000e+00       9.309130608371e-12       1.480475827556e-12      -7.268740360740e-15 
  104       3.847190954424e-10       1.089185874459e-13      -3.446398590679e-12       0.000000000000e+00       9.072709319175e-12       1.450828745530e-12      -7.077084640768e-15 
  105       3.890852514062e-10       1.107768848969e-13      -3.534756488831e-12       0.000000000000e+00       8.843255727550e-12       1.421947534419e-12      -6.915242881690e-15 
  106       3.934752892002e-10       1.126075414556e-13      -3.622834539637e-12       0.000000000000e+00       8.620805147198e-12       1.393839407247e-12      -6.781167312857e-15 
  107       3.978889605920e-10       1.144088597491e-13      -3.710568665749e-12       0.000000000000e+00       8.405344042480e-12       1.366505695297e-12      -6.672535970432e-15 
  108       4.023259022007e-10       1.161791475011e-13      -3.797894670684e-12       0.000000000000e+00       8.196808351141e-12       1.339941641773e-12      -6.586745251719e-15 
  109       4.067856311429e-10       1.179167185954e-13      -3.884748278978e-12       0.000000000000e+00       7.995081807037e-12       1.314136195477e-12      -6.520902469488e-15 
  110       4.112675406793e-10       1.196198941383e-13      -3.971065176345e-12       0.000000000000e+00       7.799994262855e-12       1.289071804473e-12      -6.471818406303e-15 
  111       4.157708958603e-10       1.212870035220e-13      -4.056781049834e-12       0.000000000000e+00       7.611320012841e-12       1.264724209758e-12      -6.435999868851e-15 
  112       4.202948291727e-10       1.229163854878e-13      -4.141831627983e-12       0.000000000000e+00       7.428776115523e-12       1.241062238932e-12      -6.409642242265e-15 
  113       4.248383361858e-10       1.245063891886e-13      -4.226152720976e-12       0.000000000000e+00       7.252020716435e-12       1.218047599868e-12      -6.388622044453e-15 
  114       4.294002711972e-10       1.260553752524e-13      -4.309680260799e-12       0.000000000000e+00       7.080651370842e-12       1.195634674380e-12      -6.368489480427e-15 
  115       4.339793428797e-10       1.275617168453e-13      -4.392350341401e-12       0.000000000000e+00       6.914203366462e-12       1.173770311891e-12      -6.344460996627e-15 
  116       4.385742943062e-10       1.290238284347e-13      -4.474097815622e-12       0.000000000000e+00       6.752251299061e-12       1.152405989070e-12      -6.312394838740e-15 
